trial,partner,trait,ran,order,response,sub,age
1,3,0,1,0,5,10983,24
2,2,0,1,1,2,10983,24
3,1,0,1,2,0,10983,24
4,3,1,1,3,0,10983,24
5,2,1,1,4,-1,10983,24
6,1,1,1,5,-5,10983,24
1,3,0,1,0,0,10860,25
2,2,0,1,1,0,10860,25
3,1,0,1,2,0,10860,25
4,3,1,1,3,0,10860,25
5,2,1,1,4,0,10860,25
6,1,1,1,5,0,10860,25
1,3,0,1,0,5,10649,63
2,2,0,1,1,5,10649,63
3,1,0,1,2,5,10649,63
4,3,1,1,3,-4,10649,63
5,2,1,1,4,-4,10649,63
6,1,1,1,5,-4,10649,63
1,3,0,1,0,5,11021,25
2,2,0,1,1,3,11021,25
3,1,0,1,2,5,11021,25
4,3,1,1,3,-4,11021,25
5,2,1,1,4,-2,11021,25
6,1,1,1,5,0,11021,25
1,3,0,1,0,2,11126,58
2,2,0,1,1,1,11126,58
3,1,0,1,2,0,11126,58
4,3,1,1,3,0,11126,58
5,2,1,1,4,1,11126,58
6,1,1,1,5,-1,11126,58
1,3,0,1,0,5,10572,70
2,2,0,1,1,5,10572,70
3,1,0,1,2,3,10572,70
4,3,1,1,3,-2,10572,70
5,2,1,1,4,-2,10572,70
6,1,1,1,5,0,10572,70
1,3,0,1,0,5,10928,55
2,2,0,1,1,3,10928,55
3,1,0,1,2,1,10928,55
4,3,1,1,3,0,10928,55
5,2,1,1,4,0,10928,55
6,1,1,1,5,0,10928,55
1,3,0,1,0,5,10402,36
2,2,0,1,1,5,10402,36
3,1,0,1,2,3,10402,36
4,3,1,1,3,-5,10402,36
5,2,1,1,4,-5,10402,36
6,1,1,1,5,-5,10402,36
1,3,0,1,0,5,10858,80
2,2,0,1,1,0,10858,80
3,1,0,1,2,0,10858,80
4,3,1,1,3,-3,10858,80
5,2,1,1,4,-1,10858,80
6,1,1,1,5,0,10858,80
1,3,0,1,0,5,10596,27
2,2,0,1,1,2,10596,27
3,1,0,1,2,0,10596,27
4,3,1,1,3,-4,10596,27
5,2,1,1,4,-2,10596,27
6,1,1,1,5,0,10596,27
1,3,0,1,0,5,11064,22
2,2,0,1,1,0,11064,22
3,1,0,1,2,5,11064,22
4,3,1,1,3,-2,11064,22
5,2,1,1,4,-4,11064,22
6,1,1,1,5,-5,11064,22
1,3,0,1,0,4,122,20
2,2,0,1,1,2,122,20
3,1,0,1,2,0,122,20
4,3,1,1,3,-3,122,20
5,2,1,1,4,-2,122,20
6,1,1,1,5,-1,122,20
1,3,0,1,0,0,155,30
2,2,0,1,1,0,155,30
3,1,0,1,2,0,155,30
4,3,1,1,3,-1,155,30
5,2,1,1,4,0,155,30
6,1,1,1,5,0,155,30
1,3,0,1,0,5,10701,27
2,2,0,1,1,4,10701,27
3,1,0,1,2,3,10701,27
4,3,1,1,3,-5,10701,27
5,2,1,1,4,-4,10701,27
6,1,1,1,5,-1,10701,27
1,3,0,1,0,5,128,63
2,2,0,1,1,4,128,63
3,1,0,1,2,4,128,63
4,3,1,1,3,3,128,63
5,2,1,1,4,4,128,63
6,1,1,1,5,2,128,63
1,3,0,1,0,5,10974,80
2,2,0,1,1,3,10974,80
3,1,0,1,2,2,10974,80
4,3,1,1,3,-4,10974,80
5,2,1,1,4,-1,10974,80
6,1,1,1,5,0,10974,80
1,3,0,1,0,5,10897,31
2,2,0,1,1,2,10897,31
3,1,0,1,2,-1,10897,31
4,3,1,1,3,-3,10897,31
5,2,1,1,4,-1,10897,31
6,1,1,1,5,0,10897,31
1,3,0,1,0,3,10559,28
2,2,0,1,1,3,10559,28
3,1,0,1,2,0,10559,28
4,3,1,1,3,-4,10559,28
5,2,1,1,4,0,10559,28
6,1,1,1,5,0,10559,28
1,3,0,1,0,-1,10804,25
2,2,0,1,1,1,10804,25
3,1,0,1,2,1,10804,25
4,3,1,1,3,0,10804,25
5,2,1,1,4,-2,10804,25
6,1,1,1,5,-4,10804,25
1,3,0,1,0,4,10720,33
2,2,0,1,1,0,10720,33
3,1,0,1,2,0,10720,33
4,3,1,1,3,-5,10720,33
5,2,1,1,4,0,10720,33
6,1,1,1,5,-1,10720,33
1,3,0,1,0,5,10585,63
2,2,0,1,1,5,10585,63
3,1,0,1,2,3,10585,63
4,3,1,1,3,-3,10585,63
5,2,1,1,4,-3,10585,63
6,1,1,1,5,-2,10585,63
1,3,0,1,0,3,10718,28
2,2,0,1,1,0,10718,28
3,1,0,1,2,0,10718,28
4,3,1,1,3,0,10718,28
5,2,1,1,4,3,10718,28
6,1,1,1,5,-1,10718,28
1,3,0,1,0,5,10781,37
2,2,0,1,1,3,10781,37
3,1,0,1,2,0,10781,37
4,3,1,1,3,0,10781,37
5,2,1,1,4,0,10781,37
6,1,1,1,5,0,10781,37
1,3,0,1,0,5,10668,37
2,2,0,1,1,5,10668,37
3,1,0,1,2,5,10668,37
4,3,1,1,3,-5,10668,37
5,2,1,1,4,-5,10668,37
6,1,1,1,5,-5,10668,37
1,3,0,1,0,2,11177,55
2,2,0,1,1,0,11177,55
3,1,0,1,2,0,11177,55
4,3,1,1,3,-4,11177,55
5,2,1,1,4,-2,11177,55
6,1,1,1,5,0,11177,55
1,3,0,1,0,5,11193,55
2,2,0,1,1,5,11193,55
3,1,0,1,2,5,11193,55
4,3,1,1,3,0,11193,55
5,2,1,1,4,0,11193,55
6,1,1,1,5,0,11193,55
1,3,0,1,0,5,11007,46
2,2,0,1,1,0,11007,46
3,1,0,1,2,0,11007,46
4,3,1,1,3,-2,11007,46
5,2,1,1,4,-1,11007,46
6,1,1,1,5,0,11007,46
1,3,0,1,0,5,141,76
2,2,0,1,1,5,141,76
3,1,0,1,2,5,141,76
4,3,1,1,3,0,141,76
5,2,1,1,4,0,141,76
6,1,1,1,5,0,141,76
1,3,0,1,0,5,136,65
2,2,0,1,1,4,136,65
3,1,0,1,2,3,136,65
4,3,1,1,3,-1,136,65
5,2,1,1,4,-1,136,65
6,1,1,1,5,-1,136,65
1,3,0,1,0,4,11209,69
2,2,0,1,1,-5,11209,69
3,1,0,1,2,-4,11209,69
4,3,1,1,3,0,11209,69
5,2,1,1,4,0,11209,69
6,1,1,1,5,0,11209,69
1,3,0,1,0,5,10831,25
2,2,0,1,1,0,10831,25
3,1,0,1,2,0,10831,25
4,3,1,1,3,-5,10831,25
5,2,1,1,4,-2,10831,25
6,1,1,1,5,0,10831,25
1,3,0,1,0,-4,11203,61
2,2,0,1,1,4,11203,61
3,1,0,1,2,0,11203,61
4,3,1,1,3,0,11203,61
5,2,1,1,4,0,11203,61
6,1,1,1,5,2,11203,61
1,3,0,1,0,5,10657,59
2,2,0,1,1,5,10657,59
3,1,0,1,2,0,10657,59
4,3,1,1,3,-5,10657,59
5,2,1,1,4,-3,10657,59
6,1,1,1,5,0,10657,59
1,3,0,1,0,5,11145,64
2,2,0,1,1,0,11145,64
3,1,0,1,2,0,11145,64
4,3,1,1,3,5,11145,64
5,2,1,1,4,0,11145,64
6,1,1,1,5,0,11145,64
1,3,0,1,0,5,10317,63
2,2,0,1,1,4,10317,63
3,1,0,1,2,0,10317,63
4,3,1,1,3,-2,10317,63
5,2,1,1,4,-1,10317,63
6,1,1,1,5,0,10317,63
1,3,0,1,0,5,104,20
2,2,0,1,1,5,104,20
3,1,0,1,2,5,104,20
4,3,1,1,3,0,104,20
5,2,1,1,4,0,104,20
6,1,1,1,5,-2,104,20
1,3,0,1,0,4,11042,29
2,2,0,1,1,0,11042,29
3,1,0,1,2,0,11042,29
4,3,1,1,3,-3,11042,29
5,2,1,1,4,0,11042,29
6,1,1,1,5,0,11042,29
1,3,0,1,0,5,10529,68
2,2,0,1,1,5,10529,68
3,1,0,1,2,5,10529,68
4,3,1,1,3,-5,10529,68
5,2,1,1,4,-4,10529,68
6,1,1,1,5,-3,10529,68
1,3,0,1,0,5,10809,68
2,2,0,1,1,3,10809,68
3,1,0,1,2,2,10809,68
4,3,1,1,3,-1,10809,68
5,2,1,1,4,-1,10809,68
6,1,1,1,5,0,10809,68
1,3,0,1,0,5,11246,39
2,2,0,1,1,2,11246,39
3,1,0,1,2,1,11246,39
4,3,1,1,3,2,11246,39
5,2,1,1,4,-3,11246,39
6,1,1,1,5,-4,11246,39
1,3,0,1,0,4,10979,32
2,2,0,1,1,1,10979,32
3,1,0,1,2,2,10979,32
4,3,1,1,3,-5,10979,32
5,2,1,1,4,0,10979,32
6,1,1,1,5,-1,10979,32
1,3,0,1,0,5,11063,21
2,2,0,1,1,3,11063,21
3,1,0,1,2,3,11063,21
4,3,1,1,3,-4,11063,21
5,2,1,1,4,-2,11063,21
6,1,1,1,5,-1,11063,21
1,3,0,1,0,4,152,66
2,2,0,1,1,2,152,66
3,1,0,1,2,0,152,66
4,3,1,1,3,4,152,66
5,2,1,1,4,4,152,66
6,1,1,1,5,-4,152,66
1,3,0,1,0,5,125,21
2,2,0,1,1,3,125,21
3,1,0,1,2,3,125,21
4,3,1,1,3,4,125,21
5,2,1,1,4,1,125,21
6,1,1,1,5,1,125,21
1,3,0,1,0,1,11164,84
2,2,0,1,1,0,11164,84
3,1,0,1,2,0,11164,84
4,3,1,1,3,1,11164,84
5,2,1,1,4,-1,11164,84
6,1,1,1,5,0,11164,84
1,3,0,1,0,5,11113,21
2,2,0,1,1,2,11113,21
3,1,0,1,2,3,11113,21
4,3,1,1,3,-3,11113,21
5,2,1,1,4,0,11113,21
6,1,1,1,5,-2,11113,21
1,3,0,1,0,4,158,26
2,2,0,1,1,2,158,26
3,1,0,1,2,1,158,26
4,3,1,1,3,-3,158,26
5,2,1,1,4,0,158,26
6,1,1,1,5,0,158,26
1,3,0,1,0,5,10958,34
2,2,0,1,1,2,10958,34
3,1,0,1,2,-2,10958,34
4,3,1,1,3,0,10958,34
5,2,1,1,4,-1,10958,34
6,1,1,1,5,2,10958,34
1,3,0,1,0,5,10952,32
2,2,0,1,1,5,10952,32
3,1,0,1,2,0,10952,32
4,3,1,1,3,0,10952,32
5,2,1,1,4,0,10952,32
6,1,1,1,5,0,10952,32
1,3,0,1,0,4,117,20
2,2,0,1,1,3,117,20
3,1,0,1,2,2,117,20
4,3,1,1,3,-4,117,20
5,2,1,1,4,-4,117,20
6,1,1,1,5,-2,117,20
1,3,0,1,0,5,10644,69
2,2,0,1,1,0,10644,69
3,1,0,1,2,0,10644,69
4,3,1,1,3,-5,10644,69
5,2,1,1,4,0,10644,69
6,1,1,1,5,0,10644,69
1,3,0,1,0,0,10984,52
2,2,0,1,1,5,10984,52
3,1,0,1,2,5,10984,52
4,3,1,1,3,5,10984,52
5,2,1,1,4,-5,10984,52
6,1,1,1,5,-5,10984,52
1,3,0,1,0,0,11125,59
2,2,0,1,1,0,11125,59
3,1,0,1,2,-2,11125,59
4,3,1,1,3,0,11125,59
5,2,1,1,4,0,11125,59
6,1,1,1,5,-1,11125,59
1,3,0,1,0,5,10640,31
2,2,0,1,1,0,10640,31
3,1,0,1,2,0,10640,31
4,3,1,1,3,-5,10640,31
5,2,1,1,4,-5,10640,31
6,1,1,1,5,-5,10640,31
1,3,0,1,0,5,113,34
2,2,0,1,1,5,113,34
3,1,0,1,2,5,113,34
4,3,1,1,3,-5,113,34
5,2,1,1,4,-5,113,34
6,1,1,1,5,-2,113,34
1,3,0,1,0,5,10913,67
2,2,0,1,1,5,10913,67
3,1,0,1,2,5,10913,67
4,3,1,1,3,5,10913,67
5,2,1,1,4,5,10913,67
6,1,1,1,5,5,10913,67
1,3,0,1,0,5,10887,35
2,2,0,1,1,5,10887,35
3,1,0,1,2,5,10887,35
4,3,1,1,3,-1,10887,35
5,2,1,1,4,-1,10887,35
6,1,1,1,5,-1,10887,35
1,3,0,1,0,0,10964,60
2,2,0,1,1,2,10964,60
3,1,0,1,2,4,10964,60
4,3,1,1,3,-3,10964,60
5,2,1,1,4,-3,10964,60
6,1,1,1,5,-3,10964,60
1,3,0,1,0,5,10919,49
2,2,0,1,1,3,10919,49
3,1,0,1,2,2,10919,49
4,3,1,1,3,-3,10919,49
5,2,1,1,4,-2,10919,49
6,1,1,1,5,-1,10919,49
1,3,0,1,0,5,10863,42
2,2,0,1,1,5,10863,42
3,1,0,1,2,5,10863,42
4,3,1,1,3,-5,10863,42
5,2,1,1,4,-5,10863,42
6,1,1,1,5,-5,10863,42
1,3,0,1,0,5,11083,68
2,2,0,1,1,-2,11083,68
3,1,0,1,2,0,11083,68
4,3,1,1,3,1,11083,68
5,2,1,1,4,0,11083,68
6,1,1,1,5,-2,11083,68
1,3,0,1,0,5,156,30
2,2,0,1,1,5,156,30
3,1,0,1,2,5,156,30
4,3,1,1,3,-5,156,30
5,2,1,1,4,-5,156,30
6,1,1,1,5,-5,156,30
1,3,0,1,0,1,121,20
2,2,0,1,1,0,121,20
3,1,0,1,2,0,121,20
4,3,1,1,3,-2,121,20
5,2,1,1,4,-1,121,20
6,1,1,1,5,-2,121,20
1,3,0,1,0,5,10956,28
2,2,0,1,1,5,10956,28
3,1,0,1,2,0,10956,28
4,3,1,1,3,-5,10956,28
5,2,1,1,4,-5,10956,28
6,1,1,1,5,-5,10956,28
1,3,0,1,0,5,11031,23
2,2,0,1,1,3,11031,23
3,1,0,1,2,2,11031,23
4,3,1,1,3,-4,11031,23
5,2,1,1,4,-4,11031,23
6,1,1,1,5,-5,11031,23
1,3,0,1,0,3,10723,21
2,2,0,1,1,4,10723,21
3,1,0,1,2,4,10723,21
4,3,1,1,3,-1,10723,21
5,2,1,1,4,-2,10723,21
6,1,1,1,5,-2,10723,21
1,3,0,1,0,5,10659,62
2,2,0,1,1,5,10659,62
3,1,0,1,2,5,10659,62
4,3,1,1,3,-5,10659,62
5,2,1,1,4,-5,10659,62
6,1,1,1,5,-5,10659,62
1,3,0,1,0,5,10807,58
2,2,0,1,1,5,10807,58
3,1,0,1,2,5,10807,58
4,3,1,1,3,-5,10807,58
5,2,1,1,4,-5,10807,58
6,1,1,1,5,-5,10807,58
1,3,0,1,0,5,10685,34
2,2,0,1,1,0,10685,34
3,1,0,1,2,0,10685,34
4,3,1,1,3,0,10685,34
5,2,1,1,4,0,10685,34
6,1,1,1,5,0,10685,34
1,3,0,1,0,4,145,71
2,2,0,1,1,4,145,71
3,1,0,1,2,0,145,71
4,3,1,1,3,-3,145,71
5,2,1,1,4,-3,145,71
6,1,1,1,5,0,145,71
1,3,0,1,0,5,11074,41
2,2,0,1,1,0,11074,41
3,1,0,1,2,0,11074,41
4,3,1,1,3,0,11074,41
5,2,1,1,4,0,11074,41
6,1,1,1,5,0,11074,41
1,3,0,1,0,5,138,68
2,2,0,1,1,5,138,68
3,1,0,1,2,0,138,68
4,3,1,1,3,-5,138,68
5,2,1,1,4,-5,138,68
6,1,1,1,5,0,138,68
1,3,0,1,0,5,10661,50
2,2,0,1,1,5,10661,50
3,1,0,1,2,5,10661,50
4,3,1,1,3,-5,10661,50
5,2,1,1,4,-5,10661,50
6,1,1,1,5,-5,10661,50
1,3,0,1,0,5,11090,69
2,2,0,1,1,5,11090,69
3,1,0,1,2,5,11090,69
4,3,1,1,3,0,11090,69
5,2,1,1,4,-1,11090,69
6,1,1,1,5,-3,11090,69
1,3,0,1,0,5,11207,66
2,2,0,1,1,2,11207,66
3,1,0,1,2,0,11207,66
4,3,1,1,3,-3,11207,66
5,2,1,1,4,-2,11207,66
6,1,1,1,5,0,11207,66
1,3,0,1,0,5,10938,58
2,2,0,1,1,5,10938,58
3,1,0,1,2,5,10938,58
4,3,1,1,3,5,10938,58
5,2,1,1,4,5,10938,58
6,1,1,1,5,5,10938,58
1,3,0,1,0,5,10486,42
2,2,0,1,1,5,10486,42
3,1,0,1,2,4,10486,42
4,3,1,1,3,-5,10486,42
5,2,1,1,4,-2,10486,42
6,1,1,1,5,-2,10486,42
1,3,0,1,0,5,10462,62
2,2,0,1,1,5,10462,62
3,1,0,1,2,0,10462,62
4,3,1,1,3,0,10462,62
5,2,1,1,4,0,10462,62
6,1,1,1,5,-5,10462,62
1,3,0,1,0,5,142,70
2,2,0,1,1,4,142,70
3,1,0,1,2,4,142,70
4,3,1,1,3,0,142,70
5,2,1,1,4,3,142,70
6,1,1,1,5,3,142,70
1,3,0,1,0,5,10716,69
2,2,0,1,1,0,10716,69
3,1,0,1,2,0,10716,69
4,3,1,1,3,-5,10716,69
5,2,1,1,4,0,10716,69
6,1,1,1,5,0,10716,69
1,3,0,1,0,5,10785,61
2,2,0,1,1,3,10785,61
3,1,0,1,2,3,10785,61
4,3,1,1,3,-3,10785,61
5,2,1,1,4,-2,10785,61
6,1,1,1,5,-2,10785,61
1,3,0,1,0,3,10800,26
2,2,0,1,1,4,10800,26
3,1,0,1,2,2,10800,26
4,3,1,1,3,-5,10800,26
5,2,1,1,4,-2,10800,26
6,1,1,1,5,-3,10800,26
1,3,0,1,0,5,11238,45
2,2,0,1,1,2,11238,45
3,1,0,1,2,-5,11238,45
4,3,1,1,3,3,11238,45
5,2,1,1,4,-2,11238,45
6,1,1,1,5,-5,11238,45
1,3,0,1,0,5,11036,22
2,2,0,1,1,2,11036,22
3,1,0,1,2,2,11036,22
4,3,1,1,3,2,11036,22
5,2,1,1,4,-3,11036,22
6,1,1,1,5,-2,11036,22
1,3,0,1,0,5,107,23
2,2,0,1,1,5,107,23
3,1,0,1,2,0,107,23
4,3,1,1,3,-2,107,23
5,2,1,1,4,0,107,23
6,1,1,1,5,0,107,23
1,3,0,1,0,5,10369,32
2,2,0,1,1,4,10369,32
3,1,0,1,2,4,10369,32
4,3,1,1,3,-5,10369,32
5,2,1,1,4,-2,10369,32
6,1,1,1,5,-2,10369,32
1,3,0,1,0,3,10926,35
2,2,0,1,1,-1,10926,35
3,1,0,1,2,-2,10926,35
4,3,1,1,3,-2,10926,35
5,2,1,1,4,0,10926,35
6,1,1,1,5,-2,10926,35
1,3,0,1,0,5,10951,21
2,2,0,1,1,2,10951,21
3,1,0,1,2,1,10951,21
4,3,1,1,3,-5,10951,21
5,2,1,1,4,-1,10951,21
6,1,1,1,5,-1,10951,21
1,3,0,1,0,5,11110,67
2,2,0,1,1,0,11110,67
3,1,0,1,2,0,11110,67
4,3,1,1,3,-3,11110,67
5,2,1,1,4,0,11110,67
6,1,1,1,5,0,11110,67
1,3,0,1,0,5,11167,57
2,2,0,1,1,5,11167,57
3,1,0,1,2,0,11167,57
4,3,1,1,3,-5,11167,57
5,2,1,1,4,-5,11167,57
6,1,1,1,5,-5,11167,57
1,3,0,1,0,5,10691,58
2,2,0,1,1,3,10691,58
3,1,0,1,2,4,10691,58
4,3,1,1,3,-2,10691,58
5,2,1,1,4,-2,10691,58
6,1,1,1,5,-4,10691,58
1,3,0,1,0,0,126,20
2,2,0,1,1,0,126,20
3,1,0,1,2,0,126,20
4,3,1,1,3,0,126,20
5,2,1,1,4,0,126,20
6,1,1,1,5,0,126,20
1,3,0,1,0,5,10608,29
2,2,0,1,1,2,10608,29
3,1,0,1,2,4,10608,29
4,3,1,1,3,-5,10608,29
5,2,1,1,4,0,10608,29
6,1,1,1,5,0,10608,29
1,3,0,1,0,1,151,65
2,2,0,1,1,0,151,65
3,1,0,1,2,2,151,65
4,3,1,1,3,0,151,65
5,2,1,1,4,-3,151,65
6,1,1,1,5,0,151,65
1,3,0,1,0,5,11060,29
2,2,0,1,1,0,11060,29
3,1,0,1,2,0,11060,29
4,3,1,1,3,-3,11060,29
5,2,1,1,4,0,11060,29
6,1,1,1,5,0,11060,29
1,3,0,1,0,5,10969,26
2,2,0,1,1,0,10969,26
3,1,0,1,2,0,10969,26
4,3,1,1,3,-5,10969,26
5,2,1,1,4,0,10969,26
6,1,1,1,5,0,10969,26
1,3,0,1,0,5,11058,38
2,2,0,1,1,5,11058,38
3,1,0,1,2,5,11058,38
4,3,1,1,3,-5,11058,38
5,2,1,1,4,-4,11058,38
6,1,1,1,5,-4,11058,38
1,3,0,1,0,-2,10647,24
2,2,0,1,1,0,10647,24
3,1,0,1,2,-2,10647,24
4,3,1,1,3,-4,10647,24
5,2,1,1,4,-1,10647,24
6,1,1,1,5,0,10647,24
1,3,0,1,0,5,11128,60
2,2,0,1,1,4,11128,60
3,1,0,1,2,4,11128,60
4,3,1,1,3,-4,11128,60
5,2,1,1,4,-4,11128,60
6,1,1,1,5,-4,11128,60
1,3,0,1,0,4,11068,43
