sub,trial,partner,trait,ran,order,response,age
10716,4,3,1,1,3,-5,69.0
10716,5,2,1,1,4,0,69.0
10716,6,1,1,1,5,0,69.0
10718,1,3,0,1,0,3,28.0
10718,2,2,0,1,1,0,28.0
10718,3,1,0,1,2,0,28.0
10718,4,3,1,1,3,0,28.0
10718,5,2,1,1,4,3,28.0
10718,6,1,1,1,5,-1,28.0
10720,1,3,0,1,0,4,33.0
10720,2,2,0,1,1,0,33.0
10720,3,1,0,1,2,0,33.0
10720,4,3,1,1,3,-5,33.0
10720,5,2,1,1,4,0,33.0
10720,6,1,1,1,5,-1,33.0
10723,1,3,0,1,0,3,21.0
10723,2,2,0,1,1,4,21.0
10723,3,1,0,1,2,4,21.0
10723,4,3,1,1,3,-1,21.0
10723,5,2,1,1,4,-2,21.0
10723,6,1,1,1,5,-2,21.0
10741,1,3,0,1,0,5,37.0
10741,2,2,0,1,1,3,37.0
10741,3,1,0,1,2,3,37.0
10741,4,3,1,1,3,-1,37.0
10741,5,2,1,1,4,-1,37.0
10741,6,1,1,1,5,-1,37.0
10748,1,3,0,1,0,5,33.0
10748,2,2,0,1,1,5,33.0
10748,3,1,0,1,2,5,33.0
10748,4,3,1,1,3,-2,33.0
10748,5,2,1,1,4,-2,33.0
10748,6,1,1,1,5,-2,33.0
10767,1,3,0,1,0,3,25.0
10767,2,2,0,1,1,2,25.0
10767,3,1,0,1,2,-2,25.0
10767,4,3,1,1,3,-2,25.0
10767,5,2,1,1,4,-2,25.0
10767,6,1,1,1,5,-2,25.0
10770,1,3,0,1,0,5,64.0
10770,2,2,0,1,1,0,64.0
10770,3,1,0,1,2,0,64.0
10770,4,3,1,1,3,-5,64.0
10770,5,2,1,1,4,0,64.0
10770,6,1,1,1,5,0,64.0
10774,1,3,0,1,0,1,
10774,2,2,0,1,1,1,
10774,3,1,0,1,2,0,
10774,4,3,1,1,3,-1,
10774,5,2,1,1,4,0,
10774,6,1,1,1,5,0,
10777,1,3,0,1,0,5,38.0
10777,2,2,0,1,1,3,38.0
10777,3,1,0,1,2,3,38.0
10777,4,3,1,1,3,-1,38.0
10777,5,2,1,1,4,-2,38.0
10777,6,1,1,1,5,-3,38.0
10781,1,3,0,1,0,5,37.0
10781,2,2,0,1,1,3,37.0
10781,3,1,0,1,2,0,37.0
10781,4,3,1,1,3,0,37.0
10781,5,2,1,1,4,0,37.0
10781,6,1,1,1,5,0,37.0
10783,1,3,0,1,0,5,51.0
10783,2,2,0,1,1,5,51.0
10783,3,1,0,1,2,5,51.0
10783,4,3,1,1,3,-3,51.0
10783,5,2,1,1,4,-1,51.0
10783,6,1,1,1,5,-2,51.0
10785,1,3,0,1,0,5,61.0
10785,2,2,0,1,1,3,61.0
10785,3,1,0,1,2,3,61.0
10785,4,3,1,1,3,-3,61.0
10785,5,2,1,1,4,-2,61.0
10785,6,1,1,1,5,-2,61.0
10794,1,3,0,1,0,3,39.0
10794,2,2,0,1,1,0,39.0
10794,3,1,0,1,2,0,39.0
10794,4,3,1,1,3,-2,39.0
10794,5,2,1,1,4,0,39.0
10794,6,1,1,1,5,0,39.0
10800,1,3,0,1,0,3,26.0
10800,2,2,0,1,1,4,26.0
10800,3,1,0,1,2,2,26.0
10800,4,3,1,1,3,-5,26.0
10800,5,2,1,1,4,-2,26.0
10800,6,1,1,1,5,-3,26.0
10801,1,3,0,1,0,4,34.0
10801,2,2,0,1,1,4,34.0
10801,3,1,0,1,2,4,34.0
10801,4,3,1,1,3,-5,34.0
10801,5,2,1,1,4,-3,34.0
10801,6,1,1,1,5,-1,34.0
10802,1,3,0,1,0,5,42.0
10802,2,2,0,1,1,5,42.0
10802,3,1,0,1,2,3,42.0
10802,4,3,1,1,3,-5,42.0
10802,5,2,1,1,4,-2,42.0
10802,6,1,1,1,5,-2,42.0
10804,1,3,0,1,0,-1,25.0
10804,2,2,0,1,1,1,25.0
10804,3,1,0,1,2,1,25.0
10804,4,3,1,1,3,0,25.0
10804,5,2,1,1,4,-2,25.0
10804,6,1,1,1,5,-4,25.0
10806,1,3,0,1,0,0,27.0
10806,2,2,0,1,1,0,27.0
10806,3,1,0,1,2,-5,27.0
10806,4,3,1,1,3,-3,27.0
10806,5,2,1,1,4,0,27.0
10806,6,1,1,1,5,-3,27.0
10807,1,3,0,1,0,5,58.0
10807,2,2,0,1,1,5,58.0
10807,3,1,0,1,2,5,58.0
10807,4,3,1,1,3,-5,58.0
10807,5,2,1,1,4,-5,58.0
10807,6,1,1,1,5,-5,58.0
10809,1,3,0,1,0,5,68.0
10809,2,2,0,1,1,3,68.0
10809,3,1,0,1,2,2,68.0
10809,4,3,1,1,3,-1,68.0
10809,5,2,1,1,4,-1,68.0
10809,6,1,1,1,5,0,68.0
10812,1,3,0,1,0,5,62.0
10812,2,2,0,1,1,5,62.0
10812,3,1,0,1,2,5,62.0
10812,4,3,1,1,3,-5,62.0
10812,5,2,1,1,4,-5,62.0
10812,6,1,1,1,5,-5,62.0
10831,1,3,0,1,0,5,25.0
10831,2,2,0,1,1,0,25.0
10831,3,1,0,1,2,0,25.0
10831,4,3,1,1,3,-5,25.0
10831,5,2,1,1,4,-2,25.0
10831,6,1,1,1,5,0,25.0
10843,1,3,0,1,0,5,27.0
10843,2,2,0,1,1,5,27.0
10843,3,1,0,1,2,3,27.0
10843,4,3,1,1,3,1,27.0
10843,5,2,1,1,4,1,27.0
10843,6,1,1,1,5,2,27.0
10850,1,3,0,1,0,5,32.0
10850,2,2,0,1,1,4,32.0
10850,3,1,0,1,2,2,32.0
10850,4,3,1,1,3,-5,32.0
10850,5,2,1,1,4,-2,32.0
10850,6,1,1,1,5,0,32.0
10854,1,3,0,1,0,5,46.0
10854,2,2,0,1,1,5,46.0
10854,3,1,0,1,2,5,46.0
10854,4,3,1,1,3,-5,46.0
10854,5,2,1,1,4,-5,46.0
10854,6,1,1,1,5,-5,46.0
10857,1,3,0,1,0,5,22.0
10857,2,2,0,1,1,2,22.0
10857,3,1,0,1,2,2,22.0
10857,4,3,1,1,3,-5,22.0
10857,5,2,1,1,4,-3,22.0
10857,6,1,1,1,5,-2,22.0
10858,1,3,0,1,0,5,80.0
10858,2,2,0,1,1,0,80.0
10858,3,1,0,1,2,0,80.0
10858,4,3,1,1,3,-3,80.0
10858,5,2,1,1,4,-1,80.0
10858,6,1,1,1,5,0,80.0
10860,1,3,0,1,0,0,25.0
10860,2,2,0,1,1,0,25.0
10860,3,1,0,1,2,0,25.0
10860,4,3,1,1,3,0,25.0
10860,5,2,1,1,4,0,25.0
10860,6,1,1,1,5,0,25.0
10862,1,3,0,1,0,5,60.0
10862,2,2,0,1,1,5,60.0
10862,3,1,0,1,2,3,60.0
10862,4,3,1,1,3,-5,60.0
10862,5,2,1,1,4,-2,60.0
10862,6,1,1,1,5,-3,60.0
10863,1,3,0,1,0,5,42.0
10863,2,2,0,1,1,5,42.0
10863,3,1,0,1,2,5,42.0
10863,4,3,1,1,3,-5,42.0
10863,5,2,1,1,4,-5,42.0
10863,6,1,1,1,5,-5,42.0
10875,1,3,0,1,0,5,32.0
10875,2,2,0,1,1,0,32.0
10875,3,1,0,1,2,0,32.0
10875,4,3,1,1,3,-2,32.0
10875,5,2,1,1,4,0,32.0
10875,6,1,1,1,5,0,32.0
10881,1,3,0,1,0,5,62.0
10881,2,2,0,1,1,5,62.0
10881,3,1,0,1,2,5,62.0
10881,4,3,1,1,3,0,62.0
10881,5,2,1,1,4,0,62.0
10881,6,1,1,1,5,0,62.0
10886,1,3,0,1,0,3,55.0
10886,2,2,0,1,1,0,55.0
10886,3,1,0,1,2,0,55.0
10886,4,3,1,1,3,-3,55.0
10886,5,2,1,1,4,0,55.0
10886,6,1,1,1,5,0,55.0
10887,1,3,0,1,0,5,35.0
10887,2,2,0,1,1,5,35.0
10887,3,1,0,1,2,5,35.0
10887,4,3,1,1,3,-1,35.0
10887,5,2,1,1,4,-1,35.0
10887,6,1,1,1,5,-1,35.0
10896,1,3,0,1,0,5,28.0
10896,2,2,0,1,1,5,28.0
10896,3,1,0,1,2,5,28.0
10896,4,3,1,1,3,-3,28.0
10896,5,2,1,1,4,-3,28.0
10896,6,1,1,1,5,-5,28.0
10897,1,3,0,1,0,5,31.0
10897,2,2,0,1,1,2,31.0
10897,3,1,0,1,2,-1,31.0
10897,4,3,1,1,3,-3,31.0
10897,5,2,1,1,4,-1,31.0
10897,6,1,1,1,5,0,31.0
10898,1,3,0,1,0,5,61.0
10898,2,2,0,1,1,3,61.0
10898,3,1,0,1,2,0,61.0
10898,4,3,1,1,3,-5,61.0
10898,5,2,1,1,4,-2,61.0
10898,6,1,1,1,5,0,61.0
10908,1,3,0,1,0,5,42.0
10908,2,2,0,1,1,2,42.0
10908,3,1,0,1,2,2,42.0
10908,4,3,1,1,3,5,42.0
10908,5,2,1,1,4,1,42.0
10908,6,1,1,1,5,1,42.0
10913,1,3,0,1,0,5,67.0
10913,2,2,0,1,1,5,67.0
10913,3,1,0,1,2,5,67.0
10913,4,3,1,1,3,5,67.0
10913,5,2,1,1,4,5,67.0
10913,6,1,1,1,5,5,67.0
10918,1,3,0,1,0,3,24.0
10918,2,2,0,1,1,0,24.0
10918,3,1,0,1,2,0,24.0
10918,4,3,1,1,3,-2,24.0
10918,5,2,1,1,4,0,24.0
10918,6,1,1,1,5,0,24.0
10919,1,3,0,1,0,5,49.0
10919,2,2,0,1,1,3,49.0
10919,3,1,0,1,2,2,49.0
10919,4,3,1,1,3,-3,49.0
10919,5,2,1,1,4,-2,49.0
10919,6,1,1,1,5,-1,49.0
10924,1,3,0,1,0,5,32.0
10924,2,2,0,1,1,1,32.0
10924,3,1,0,1,2,-1,32.0
10924,4,3,1,1,3,3,32.0
10924,5,2,1,1,4,-1,32.0
10924,6,1,1,1,5,-2,32.0
10926,1,3,0,1,0,3,35.0
10926,2,2,0,1,1,-1,35.0
10926,3,1,0,1,2,-2,35.0
10926,4,3,1,1,3,-2,35.0
10926,5,2,1,1,4,0,35.0
10926,6,1,1,1,5,-2,35.0
10928,1,3,0,1,0,5,55.0
10928,2,2,0,1,1,3,55.0
10928,3,1,0,1,2,1,55.0
10928,4,3,1,1,3,0,55.0
10928,5,2,1,1,4,0,55.0
10928,6,1,1,1,5,0,55.0
10929,1,3,0,1,0,5,42.0
10929,2,2,0,1,1,5,42.0
10929,3,1,0,1,2,5,42.0
10929,4,3,1,1,3,-5,42.0
10929,5,2,1,1,4,-3,42.0
10929,6,1,1,1,5,0,42.0
10930,1,3,0,1,0,5,49.0
10930,2,2,0,1,1,5,49.0
10930,3,1,0,1,2,5,49.0
10930,4,3,1,1,3,-5,49.0
10930,5,2,1,1,4,-3,49.0
10930,6,1,1,1,5,-1,49.0
10938,1,3,0,1,0,5,58.0
10938,2,2,0,1,1,5,58.0
10938,3,1,0,1,2,5,58.0
10938,4,3,1,1,3,5,58.0
10938,5,2,1,1,4,5,58.0
10938,6,1,1,1,5,5,58.0
10940,1,3,0,1,0,-2,22.0
10940,2,2,0,1,1,0,22.0
10940,3,1,0,1,2,2,22.0
10940,4,3,1,1,3,3,22.0
10940,5,2,1,1,4,0,22.0
10940,6,1,1,1,5,2,22.0
10950,1,3,0,1,0,2,24.0
10950,2,2,0,1,1,0,24.0
10950,3,1,0,1,2,0,24.0
10950,4,3,1,1,3,-3,24.0
10950,5,2,1,1,4,0,24.0
10950,6,1,1,1,5,0,24.0
10951,1,3,0,1,0,5,21.0
10951,2,2,0,1,1,2,21.0
10951,3,1,0,1,2,1,21.0
10951,4,3,1,1,3,-5,21.0
10951,5,2,1,1,4,-1,21.0
10951,6,1,1,1,5,-1,21.0
10952,1,3,0,1,0,5,32.0
10952,2,2,0,1,1,5,32.0
10952,3,1,0,1,2,0,32.0
10952,4,3,1,1,3,0,32.0
10952,5,2,1,1,4,0,32.0
10952,6,1,1,1,5,0,32.0
10953,1,3,0,1,0,5,63.0
10953,2,2,0,1,1,5,63.0
10953,3,1,0,1,2,5,63.0
10953,4,3,1,1,3,0,63.0
10953,5,2,1,1,4,0,63.0
10953,6,1,1,1,5,0,63.0
10954,1,3,0,1,0,0,46.0
10954,2,2,0,1,1,5,46.0
10954,3,1,0,1,2,4,46.0
10954,4,3,1,1,3,4,46.0
10954,5,2,1,1,4,-1,46.0
10954,6,1,1,1,5,0,46.0
10956,1,3,0,1,0,5,28.0
10956,2,2,0,1,1,5,28.0
10956,3,1,0,1,2,0,28.0
10956,4,3,1,1,3,-5,28.0
10956,5,2,1,1,4,-5,28.0
10956,6,1,1,1,5,-5,28.0
10958,1,3,0,1,0,5,34.0
10958,2,2,0,1,1,2,34.0
10958,3,1,0,1,2,-2,34.0
10958,4,3,1,1,3,0,34.0
10958,5,2,1,1,4,-1,34.0
10958,6,1,1,1,5,2,34.0
10961,1,3,0,1,0,4,23.0
10961,2,2,0,1,1,5,23.0
10961,3,1,0,1,2,5,23.0
10961,4,3,1,1,3,-5,23.0
10961,5,2,1,1,4,-3,23.0
10961,6,1,1,1,5,-1,23.0
10964,1,3,0,1,0,0,60.0
10964,2,2,0,1,1,2,60.0
10964,3,1,0,1,2,4,60.0
10964,4,3,1,1,3,-3,60.0
10964,5,2,1,1,4,-3,60.0
10964,6,1,1,1,5,-3,60.0
10966,1,3,0,1,0,4,34.0
10966,2,2,0,1,1,2,34.0
10966,3,1,0,1,2,0,34.0
10966,4,3,1,1,3,-4,34.0
10966,5,2,1,1,4,0,34.0
10966,6,1,1,1,5,0,34.0
10969,1,3,0,1,0,5,26.0
10969,2,2,0,1,1,0,26.0
10969,3,1,0,1,2,0,26.0
10969,4,3,1,1,3,-5,26.0
10969,5,2,1,1,4,0,26.0
10969,6,1,1,1,5,0,26.0
10974,1,3,0,1,0,-3,80.0
10974,2,2,0,1,1,0,80.0
10974,3,1,0,1,2,0,80.0
10974,4,3,1,1,3,0,80.0
10974,5,2,1,1,4,0,80.0
10974,6,1,1,1,5,0,80.0
10974,1,3,0,1,0,5,80.0
10974,2,2,0,1,1,3,80.0
10974,3,1,0,1,2,2,80.0
10974,4,3,1,1,3,-4,80.0
10974,5,2,1,1,4,-1,80.0
10974,6,1,1,1,5,0,80.0
10979,1,3,0,1,0,4,32.0
10979,2,2,0,1,1,1,32.0
10979,3,1,0,1,2,2,32.0
10979,4,3,1,1,3,-5,32.0
10979,5,2,1,1,4,0,32.0
10979,6,1,1,1,5,-1,32.0
10983,1,3,0,1,0,5,24.0
10983,2,2,0,1,1,2,24.0
10983,3,1,0,1,2,0,24.0
10983,4,3,1,1,3,0,24.0
10983,5,2,1,1,4,-1,24.0
10983,6,1,1,1,5,-5,24.0
10984,1,3,0,1,0,0,52.0
10984,2,2,0,1,1,5,52.0
10984,3,1,0,1,2,5,52.0
10984,4,3,1,1,3,5,52.0
10984,5,2,1,1,4,-5,52.0
10984,6,1,1,1,5,-5,52.0
10998,1,3,0,1,0,5,21.0
10998,2,2,0,1,1,0,21.0
10998,3,1,0,1,2,-2,21.0
10998,4,3,1,1,3,-3,21.0
10998,5,2,1,1,4,0,21.0
10998,6,1,1,1,5,-2,21.0
11005,1,3,0,1,0,-1,36.0
11005,2,2,0,1,1,0,36.0
11005,3,1,0,1,2,0,36.0
11005,4,3,1,1,3,0,36.0
11005,5,2,1,1,4,0,36.0
11005,6,1,1,1,5,0,36.0
11005,1,3,0,1,0,5,36.0
11005,2,2,0,1,1,5,36.0
11005,3,1,0,1,2,4,36.0
11005,4,3,1,1,3,-5,36.0
11005,5,2,1,1,4,-5,36.0
11005,6,1,1,1,5,-5,36.0
11007,1,3,0,1,0,5,46.0
11007,2,2,0,1,1,0,46.0
11007,3,1,0,1,2,0,46.0
11007,4,3,1,1,3,-2,46.0
11007,5,2,1,1,4,-1,46.0
11007,6,1,1,1,5,0,46.0
11012,1,3,0,1,0,5,58.0
11012,2,2,0,1,1,5,58.0
11012,3,1,0,1,2,5,58.0
11012,4,3,1,1,3,-5,58.0
11012,5,2,1,1,4,-2,58.0
11012,6,1,1,1,5,-5,58.0
11016,1,3,0,1,0,5,22.0
11016,2,2,0,1,1,4,22.0
11016,3,1,0,1,2,1,22.0
11016,4,3,1,1,3,-3,22.0
11016,5,2,1,1,4,-2,22.0
11016,6,1,1,1,5,-1,22.0
11021,1,3,0,1,0,5,25.0
11021,2,2,0,1,1,3,25.0
11021,3,1,0,1,2,5,25.0
11021,4,3,1,1,3,-4,25.0
11021,5,2,1,1,4,-2,25.0
11021,6,1,1,1,5,0,25.0
11030,1,3,0,1,0,2,23.0
11030,2,2,0,1,1,1,23.0
11030,3,1,0,1,2,2,23.0
11030,4,3,1,1,3,-3,23.0
11030,5,2,1,1,4,-2,23.0
11030,6,1,1,1,5,-1,23.0
11031,1,3,0,1,0,5,23.0
11031,2,2,0,1,1,3,23.0
11031,3,1,0,1,2,2,23.0
11031,4,3,1,1,3,-4,23.0
11031,5,2,1,1,4,-4,23.0
11031,6,1,1,1,5,-5,23.0
11036,1,3,0,1,0,5,22.0
11036,2,2,0,1,1,2,22.0
11036,3,1,0,1,2,2,22.0
11036,4,3,1,1,3,2,22.0
11036,5,2,1,1,4,-3,22.0
11036,6,1,1,1,5,-2,22.0
11039,1,3,0,1,0,5,41.0
11039,2,2,0,1,1,4,41.0
11039,3,1,0,1,2,-5,41.0
11039,4,3,1,1,3,-5,41.0
11039,5,2,1,1,4,-5,41.0
11039,6,1,1,1,5,-5,41.0
11042,1,3,0,1,0,4,29.0
11042,2,2,0,1,1,0,29.0
11042,3,1,0,1,2,0,29.0
11042,4,3,1,1,3,-3,29.0
11042,5,2,1,1,4,0,29.0
11042,6,1,1,1,5,0,29.0
11053,1,3,0,1,0,5,30.0
11053,2,2,0,1,1,3,30.0
11053,3,1,0,1,2,0,30.0
11053,4,3,1,1,3,-5,30.0
11053,5,2,1,1,4,-2,30.0
11053,6,1,1,1,5,-1,30.0
11060,1,3,0,1,0,5,29.0
11060,2,2,0,1,1,0,29.0
11060,3,1,0,1,2,0,29.0
11060,4,3,1,1,3,-3,29.0
11060,5,2,1,1,4,0,29.0
11060,6,1,1,1,5,0,29.0
11063,1,3,0,1,0,5,21.0
11063,2,2,0,1,1,3,21.0
11063,3,1,0,1,2,3,21.0
11063,4,3,1,1,3,-4,21.0
11063,5,2,1,1,4,-2,21.0
11063,6,1,1,1,5,-1,21.0
11064,1,3,0,1,0,5,22.0
11064,2,2,0,1,1,0,22.0
11064,3,1,0,1,2,5,22.0
11064,4,3,1,1,3,-2,22.0
11064,5,2,1,1,4,-4,22.0
11064,6,1,1,1,5,-5,22.0
11068,1,3,0,1,0,4,43.0
11068,2,2,0,1,1,4,43.0
11068,3,1,0,1,2,0,43.0
11068,4,3,1,1,3,4,43.0
11068,5,2,1,1,4,0,43.0
11068,6,1,1,1,5,0,43.0
11071,1,3,0,1,0,0,62.0
11071,2,2,0,1,1,0,62.0
11071,3,1,0,1,2,0,62.0
11071,4,3,1,1,3,0,62.0
11071,5,2,1,1,4,0,62.0
11071,6,1,1,1,5,0,62.0
11072,1,3,0,1,0,5,25.0
11072,2,2,0,1,1,0,25.0
11072,3,1,0,1,2,0,25.0
11072,4,3,1,1,3,0,25.0
11072,5,2,1,1,4,0,25.0
11072,6,1,1,1,5,0,25.0
